station 40897,,,,,,,,
Start Date/Time,Year,Month,Day,Hour,48-hr Precip (in),Rank,,
1964-12-23T11,1964,12,23,11,16.28,1,,
1955-12-23T15,1955,12,23,15,16.17,2,,
1962-10-13T10,1962,10,13,10,14.52,3,,
1986-02-18T09,1986,02,18,09,14.48,4,,
1963-02-01T01,1963,02,01,01,14.19,5,,
1981-12-20T14,1981,12,20,14,12.24,6,,
1980-01-13T17,1980,01,13,17,11.10,7,,
1950-11-21T05,1950,11,21,05,10.60,8,,
1995-12-12T19,1995,12,12,19,10.60,9,,
1960-02-09T10,1960,02,09,10,10.46,10,,
1967-01-21T23,1967,01,21,23,10.25,11,,
1969-01-20T17,1969,01,20,17,9.47,12,,
1986-03-09T05,1986,03,09,05,9.08,13,,
1982-02-16T00,1982,02,16,00,9.01,14,,
2005-12-31T16,2005,12,31,16,8.64,15,,
1995-03-10T22,1995,03,10,22,8.60,16,,
1950-01-18T04,1950,01,18,04,8.39,17,,
1982-12-22T19,1982,12,22,19,7.95,18,,
1988-11-23T14,1988,11,23,14,7.83,19,,
1962-02-10T15,1962,02,10,15,7.64,20,,
1973-11-12T09,1973,11,12,09,7.55,21,,
1970-01-22T15,1970,01,22,15,7.52,22,,
2007-02-28T01,2007,02,28,01,7.43,23,,
1997-01-26T19,1997,01,26,19,7.40,24,,
1980-02-19T15,1980,02,19,15,7.22,25,,
1996-02-05T05,1996,02,05,05,7.20,26,,
2012-03-16T23,2012,03,16,23,7.13,27,,
1950-12-04T12,1950,12,04,12,7.04,28,,
1952-01-16T01,1952,01,16,01,7.03,29,,
1996-11-18T02,1996,11,18,02,7.00,30,,
1982-04-12T04,1982,04,12,04,6.99,31,,
1959-01-10T14,1959,01,10,14,6.84,32,,
1970-01-17T15,1970,01,17,15,6.84,33,,
2005-12-23T01,2005,12,23,01,6.78,34,,
1981-11-14T03,1981,11,14,03,6.75,35,,
2002-12-15T02,2002,12,15,02,6.72,36,,
2012-11-30T22,2012,11,30,22,6.71,37,,
2007-02-11T02,2007,02,11,02,6.69,38,,
1981-01-28T23,1981,01,28,23,6.60,39,,
1969-12-21T11,1969,12,21,11,6.59,40,,
1957-02-25T02,1957,02,25,02,6.54,41,,
1954-03-10T07,1954,03,10,07,6.50,42,,
1978-01-06T10,1978,01,06,10,6.49,43,,
1979-01-12T14,1979,01,12,14,6.46,44,,
1969-12-25T08,1969,12,25,08,6.45,45,,
2005-12-02T14,2005,12,02,14,6.42,46,,
2002-11-09T01,2002,11,09,01,6.34,47,,
1977-11-22T15,1977,11,22,15,6.32,48,,
1958-04-03T03,1958,04,03,03,6.21,49,,
1956-01-15T15,1956,01,15,15,6.19,50,,
1982-11-30T14,1982,11,30,14,6.12,51,,
2012-01-21T14,2012,01,21,14,6.12,52,,
1954-02-14T05,1954,02,14,05,6.07,53,,
1983-11-17T22,1983,11,17,22,6.06,54,,
