station 52220,,,,,,
Start Date/Time,Year,Month,Day,Hour,2-hr Precip (in),Rank
1997-07-19T15,1997,07,19,15,3.40,1
1965-07-25T17,1965,07,25,17,2.00,2
2004-08-18T18,2004,08,18,18,1.90,3
1991-07-25T15,1991,07,25,15,1.85,4
1967-06-20T15,1967,06,20,15,1.80,5
1987-06-08T22,1987,06,08,22,1.68,6
1951-08-03T02,1951,08,03,02,1.62,7
1998-07-09T14,1998,07,09,14,1.60,8
2013-07-13T16,2013,07,13,16,1.60,9
1976-08-01T14,1976,08,01,14,1.57,10
1967-05-30T15,1967,05,30,15,1.50,11
1957-05-09T01,1957,05,09,01,1.40,12
1997-08-11T15,1997,08,11,15,1.40,13
1999-08-10T15,1999,08,10,15,1.40,14
2000-08-17T16,2000,08,17,16,1.40,15
1956-08-02T17,1956,08,02,17,1.35,16
1988-07-07T17,1988,07,07,17,1.34,17
1987-05-23T15,1987,05,23,15,1.32,18
1955-09-19T14,1955,09,19,14,1.31,19
1998-07-10T16,1998,07,10,16,1.30,20
2000-08-16T15,2000,08,16,15,1.30,21
2007-05-14T20,2007,05,14,20,1.30,22
2013-09-11T21,2013,09,11,21,1.30,23
1950-06-16T17,1950,06,16,17,1.28,24
1990-07-09T18,1990,07,09,18,1.22,25
1976-07-25T21,1976,07,25,21,1.21,26
2002-09-12T18,2002,09,12,18,1.20,27
1969-07-19T18,1969,07,19,18,1.18,28
1985-07-19T16,1985,07,19,16,1.15,29
1969-06-08T15,1969,06,08,15,1.07,30
1991-08-03T08,1991,08,03,08,1.07,31
1968-08-09T18,1968,08,09,18,1.06,32
1973-07-24T18,1973,07,24,18,1.04,33
1961-05-20T22,1961,05,20,22,1.03,34
1956-07-31T20,1956,07,31,20,1.02,35
1951-08-02T16,1951,08,02,16,1.01,36
1953-07-09T18,1953,07,09,18,1.01,37
1954-07-14T18,1954,07,14,18,1.01,38
1958-07-18T14,1958,07,18,14,1.01,39
1969-09-09T15,1969,09,09,15,1.01,40
1984-08-12T17,1984,08,12,17,1.00,41
1997-07-28T16,1997,07,28,16,1.00,42
1998-07-22T16,1998,07,22,16,1.00,43
1999-07-31T19,1999,07,31,19,1.00,44
1993-09-18T13,1993,09,18,13,0.98,45
1992-07-15T16,1992,07,15,16,0.96,46
1973-08-07T16,1973,08,07,16,0.95,47
