station 52220,,,,,,
Start Date/Time,Year,Month,Day,Hour,48-hr Precip (in),Rank
1967-04-14T15,1967,04,14,15,3.25,1
1972-04-27T23,1972,04,27,23,3.06,2
1983-03-06T07,1983,03,06,07,3.06,3
1950-04-16T08,1950,04,16,08,2.13,4
1957-04-03T08,1957,04,03,08,2.12,5
1999-04-30T16,1999,04,30,16,2.10,6
2005-10-11T15,2005,10,11,15,2.10,7
1982-12-25T07,1982,12,25,07,2.02,8
2010-04-23T13,2010,04,23,13,2.00,9
1990-03-07T07,1990,03,07,07,1.96,10
1969-10-05T00,1969,10,05,00,1.90,11
1999-04-23T05,1999,04,23,05,1.90,12
2007-04-25T06,2007,04,25,06,1.90,13
1984-10-05T10,1984,10,05,10,1.73,14
1960-04-29T15,1960,04,29,15,1.72,15
1951-10-06T15,1951,10,06,15,1.71,16
1959-03-26T12,1959,03,26,12,1.70,17
1999-04-15T01,1999,04,15,01,1.70,18
1960-10-19T02,1960,10,19,02,1.64,19
1997-04-24T16,1997,04,24,16,1.60,20
2003-03-19T13,2003,03,19,13,1.60,21
1980-04-25T00,1980,04,25,00,1.58,22
1984-10-16T04,1984,10,16,04,1.54,23
2003-04-25T03,2003,04,25,03,1.50,24
1952-03-22T00,1952,03,22,00,1.46,25
1952-04-22T15,1952,04,22,15,1.46,26
1969-10-12T07,1969,10,12,07,1.43,27
1971-04-23T04,1971,04,23,04,1.43,28
1983-11-27T17,1983,11,27,17,1.42,29
1993-10-18T14,1993,10,18,14,1.42,30
1986-04-04T01,1986,04,04,01,1.40,31
1979-11-21T14,1979,11,21,14,1.39,32
1959-10-30T15,1959,10,30,15,1.38,33
1973-12-24T19,1973,12,24,19,1.38,34
1984-04-21T16,1984,04,21,16,1.36,35
2006-10-26T09,2006,10,26,09,1.30,36
1975-11-09T11,1975,11,09,11,1.29,37
1978-10-23T02,1978,10,23,02,1.27,38
1949-03-30T08,1949,03,30,08,1.26,39
1959-10-01T00,1959,10,01,00,1.15,40
1992-03-05T14,1992,03,05,14,1.15,41
1953-02-20T15,1953,02,20,15,1.13,42
1974-10-12T23,1974,10,12,23,1.13,43
1991-11-19T00,1991,11,19,00,1.11,44
1992-03-29T11,1992,03,29,11,1.11,45
1977-03-11T08,1977,03,11,08,1.10,46
1985-04-26T11,1985,04,26,11,1.10,47
