station 90451,,,,,,
Start Date/Time,Year,Month,Day,Hour,6-hr Precip (in),Rank
2005-07-06T23,2005,07,06,23,5.13,1
2013-06-05T22,2013,06,05,22,4.14,2
1969-05-08T19,1969,05,08,19,3.92,3
1992-09-05T00,1992,09,05,00,3.84,4
1991-06-18T22,1991,06,18,22,3.78,5
2004-09-16T18,2004,09,16,18,3.76,6
2009-09-19T12,2009,09,19,12,3.61,7
2004-09-27T19,2004,09,27,19,3.60,8
2005-07-11T02,2005,07,11,02,3.45,9
1994-09-18T04,1994,09,18,04,3.27,10
1948-07-10T23,1948,07,10,23,3.25,11
1989-09-25T21,1989,09,25,21,3.19,12
2006-08-31T04,2006,08,31,04,3.15,13
1989-09-30T18,1989,09,30,18,3.10,14
1980-05-23T16,1980,05,23,16,3.02,15
1984-08-25T20,1984,08,25,20,2.99,16
2005-08-23T19,2005,08,23,19,2.96,17
1994-07-04T22,1994,07,04,22,2.88,18
1954-07-14T21,1954,07,14,21,2.76,19
1989-05-01T14,1989,05,01,14,2.70,20
1987-07-06T22,1987,07,06,22,2.66,21
1988-07-29T18,1988,07,29,18,2.65,22
1963-07-25T00,1963,07,25,00,2.55,23
1976-05-27T23,1976,05,27,23,2.44,24
1962-09-26T14,1962,09,26,14,2.37,25
1960-08-09T16,1960,08,09,16,2.34,26
1967-08-23T21,1967,08,23,21,2.31,27
1958-09-21T16,1958,09,21,16,2.29,28
1950-07-29T00,1950,07,29,00,2.28,29
2010-05-03T08,2010,05,03,08,2.27,30
1956-09-25T15,1956,09,25,15,2.22,31
1980-05-20T08,1980,05,20,08,2.22,32
1958-05-12T01,1958,05,12,01,2.20,33
1978-08-09T15,1978,08,09,15,2.19,34
1992-07-02T19,1992,07,02,19,2.12,35
1958-07-21T00,1958,07,21,00,2.09,36
1998-09-01T19,1998,09,01,19,2.07,37
2008-07-13T15,2008,07,13,15,2.07,38
1975-07-17T19,1975,07,17,19,2.06,39
1994-07-31T20,1994,07,31,20,2.05,40
1994-08-01T00,1994,08,01,00,2.05,41
2004-09-07T05,2004,09,07,05,2.04,42
2006-06-25T00,2006,06,25,00,2.03,43
1981-09-04T17,1981,09,04,17,2.01,44
1958-06-15T16,1958,06,15,16,2.00,45
1951-07-26T12,1951,07,26,12,1.97,46
1970-08-23T21,1970,08,23,21,1.97,47
1948-07-14T09,1948,07,14,09,1.96,48
1982-06-27T17,1982,06,27,17,1.96,49
1989-06-20T14,1989,06,20,14,1.94,50
1995-08-20T00,1995,08,20,00,1.93,51
2001-06-01T12,2001,06,01,12,1.93,52
1983-09-02T12,1983,09,02,12,1.92,53
1967-08-20T00,1967,08,20,00,1.89,54
2009-07-13T00,2009,07,13,00,1.89,55
1973-05-20T02,1973,05,20,02,1.88,56
1992-07-23T20,1992,07,23,20,1.88,57
1950-08-25T22,1950,08,25,22,1.86,58
1999-09-20T14,1999,09,20,14,1.86,59
1993-06-28T01,1993,06,28,01,1.84,60
2003-07-01T14,2003,07,01,14,1.83,61
1959-05-30T19,1959,05,30,19,1.82,62
2004-08-12T08,2004,08,12,08,1.81,63
1952-08-22T01,1952,08,22,01,1.80,64
2013-05-05T00,2013,05,05,00,1.80,65
2009-09-21T18,2009,09,21,18,1.79,66
1984-07-02T18,1984,07,02,18,1.78,67
1987-06-15T19,1987,06,15,19,1.78,68
1998-08-18T17,1998,08,18,17,1.78,69
1977-06-23T01,1977,06,23,01,1.77,70
1965-06-07T19,1965,06,07,19,1.76,71
1971-07-31T12,1971,07,31,12,1.76,72
1979-09-29T01,1979,09,29,01,1.76,73
1954-07-02T20,1954,07,02,20,1.75,74
1977-07-29T10,1977,07,29,10,1.75,75
1993-09-17T17,1993,09,17,17,1.72,76
2013-09-21T15,2013,09,21,15,1.71,77
1969-08-16T00,1969,08,16,00,1.70,78
1981-09-01T11,1981,09,01,11,1.70,79
1989-07-03T09,1989,07,03,09,1.70,80
1964-07-22T21,1964,07,22,21,1.68,81
1988-08-04T17,1988,08,04,17,1.68,82
2010-05-28T21,2010,05,28,21,1.67,83
1987-07-31T21,1987,07,31,21,1.65,84
1997-09-25T11,1997,09,25,11,1.62,85
2012-07-03T19,2012,07,03,19,1.62,86
1961-08-06T15,1961,08,06,15,1.61,87
1963-09-28T14,1963,09,28,14,1.60,88
2005-08-10T20,2005,08,10,20,1.60,89
1963-09-04T19,1963,09,04,19,1.59,90
1993-05-19T07,1993,05,19,07,1.59,91
1994-07-10T22,1994,07,10,22,1.57,92
2003-05-06T02,2003,05,06,02,1.57,93
1986-08-01T05,1986,08,01,05,1.56,94
1993-06-14T08,1993,06,14,08,1.56,95
1966-06-29T18,1966,06,29,18,1.55,96
1993-05-04T07,1993,05,04,07,1.55,97
1996-08-06T01,1996,08,06,01,1.55,98
1960-09-28T04,1960,09,28,04,1.54,99
1965-07-25T21,1965,07,25,21,1.54,100
1982-05-17T19,1982,05,17,19,1.54,101
1985-07-23T18,1985,07,23,18,1.53,102
1989-06-16T09,1989,06,16,09,1.53,103
1984-07-18T05,1984,07,18,05,1.52,104
1978-05-08T19,1978,05,08,19,1.51,105
1984-07-27T17,1984,07,27,17,1.51,106
2009-08-28T10,2009,08,28,10,1.51,107
1980-06-23T21,1980,06,23,21,1.50,108
1984-07-16T18,1984,07,16,18,1.50,109
1985-08-25T00,1985,08,25,00,1.50,110
1985-09-23T19,1985,09,23,19,1.50,111
1994-08-16T14,1994,08,16,14,1.50,112
2007-09-13T16,2007,09,13,16,1.50,113
2006-08-10T20,2006,08,10,20,1.49,114
1957-08-19T08,1957,08,19,08,1.48,115
1968-08-20T00,1968,08,20,00,1.48,116
1976-07-27T21,1976,07,27,21,1.48,117
2003-09-22T18,2003,09,22,18,1.48,118
2008-05-11T04,2008,05,11,04,1.48,119
2013-08-07T12,2013,08,07,12,1.48,120
1996-09-21T17,1996,09,21,17,1.47,121
1952-08-30T00,1952,08,30,00,1.46,122
1998-08-09T00,1998,08,09,00,1.46,123
1948-07-28T15,1948,07,28,15,1.45,124
1953-09-19T21,1953,09,19,21,1.45,125
1969-08-02T14,1969,08,02,14,1.45,126
1989-07-09T21,1989,07,09,21,1.45,127
2013-07-20T17,2013,07,20,17,1.45,128
1972-07-31T17,1972,07,31,17,1.44,129
1987-08-01T00,1987,08,01,00,1.44,130
2002-07-23T20,2002,07,23,20,1.44,131
1977-08-27T00,1977,08,27,00,1.43,132
1986-06-10T18,1986,06,10,18,1.42,133
1992-06-04T03,1992,06,04,03,1.42,134
1949-08-22T10,1949,08,22,10,1.41,135
1973-06-20T18,1973,06,20,18,1.41,136
2000-05-21T20,2000,05,21,20,1.41,137
1950-06-08T22,1950,06,08,22,1.40,138
1959-09-07T18,1959,09,07,18,1.40,139
1971-09-17T14,1971,09,17,14,1.40,140
1983-09-04T01,1983,09,04,01,1.40,141
1990-09-14T01,1990,09,14,01,1.40,142
1952-05-29T22,1952,05,29,22,1.39,143
1958-07-13T12,1958,07,13,12,1.39,144
1998-06-19T16,1998,06,19,16,1.39,145
1988-09-04T18,1988,09,04,18,1.37,146
1999-05-07T09,1999,05,07,09,1.37,147
2006-05-07T10,2006,05,07,10,1.37,148
1957-08-12T19,1957,08,12,19,1.36,149
2002-09-18T01,2002,09,18,01,1.36,150
1948-08-01T17,1948,08,01,17,1.35,151
1961-06-20T23,1961,06,20,23,1.35,152
1973-05-28T03,1973,05,28,03,1.35,153
2002-09-21T03,2002,09,21,03,1.35,154
1949-06-21T13,1949,06,21,13,1.34,155
1952-06-11T21,1952,06,11,21,1.34,156
1956-07-08T20,1956,07,08,20,1.34,157
1969-09-23T11,1969,09,23,11,1.34,158
1985-07-15T19,1985,07,15,19,1.34,159
1987-06-13T10,1987,06,13,10,1.34,160
1987-09-30T02,1987,09,30,02,1.34,161
1988-09-17T05,1988,09,17,05,1.33,162
1958-07-08T17,1958,07,08,17,1.32,163
1965-09-30T23,1965,09,30,23,1.31,164
2003-06-17T05,2003,06,17,05,1.31,165
2011-05-27T06,2011,05,27,06,1.31,166
1953-09-03T20,1953,09,03,20,1.30,167
1978-05-28T21,1978,05,28,21,1.30,168
1986-07-23T22,1986,07,23,22,1.30,169
1988-09-03T23,1988,09,03,23,1.30,170
2007-06-30T22,2007,06,30,22,1.30,171
2007-07-01T01,2007,07,01,01,1.30,172
1949-08-17T10,1949,08,17,10,1.29,173
2006-06-02T01,2006,06,02,01,1.29,174
1951-09-22T08,1951,09,22,08,1.28,175
1982-07-24T00,1982,07,24,00,1.28,176
1971-07-08T18,1971,07,08,18,1.27,177
2004-06-27T19,2004,06,27,19,1.27,178
1951-07-29T09,1951,07,29,09,1.26,179
1959-07-16T00,1959,07,16,00,1.25,180
1963-07-06T19,1963,07,06,19,1.25,181
1963-07-17T19,1963,07,17,19,1.25,182
1965-06-10T19,1965,06,10,19,1.25,183
1975-09-18T08,1975,09,18,08,1.25,184
1992-07-01T21,1992,07,01,21,1.25,185
1993-07-09T21,1993,07,09,21,1.25,186
1962-07-06T13,1962,07,06,13,1.24,187
1963-06-16T12,1963,06,16,12,1.24,188
1990-08-01T12,1990,08,01,12,1.24,189
1991-05-27T16,1991,05,27,16,1.24,190
2013-07-03T13,2013,07,03,13,1.24,191
1978-06-07T23,1978,06,07,23,1.23,192
1986-09-04T18,1986,09,04,18,1.23,193
1950-07-16T14,1950,07,16,14,1.22,194
1978-05-01T05,1978,05,01,05,1.22,195
1997-07-23T08,1997,07,23,08,1.21,196
2004-07-26T01,2004,07,26,01,1.21,197
1953-07-16T22,1953,07,16,22,1.20,198
1960-08-15T22,1960,08,15,22,1.20,199
1974-07-02T22,1974,07,02,22,1.20,200
1977-09-17T21,1977,09,17,21,1.20,201
1986-08-09T21,1986,08,09,21,1.20,202
2000-08-21T02,2000,08,21,02,1.20,203
2000-09-01T13,2000,09,01,13,1.20,204
2006-08-20T20,2006,08,20,20,1.18,205
2008-07-26T20,2008,07,26,20,1.18,206
1968-07-03T02,1968,07,03,02,1.17,207
2003-08-03T11,2003,08,03,11,1.17,208
1974-06-07T03,1974,06,07,03,1.16,209
1975-07-14T22,1975,07,14,22,1.16,210
1998-06-04T22,1998,06,04,22,1.16,211
1954-05-13T09,1954,05,13,09,1.15,212
1991-07-17T07,1991,07,17,07,1.15,213
1993-08-04T17,1993,08,04,17,1.15,214
1967-07-13T17,1967,07,13,17,1.14,215
1978-05-26T19,1978,05,26,19,1.14,216
1953-07-18T20,1953,07,18,20,1.12,217
1959-08-20T17,1959,08,20,17,1.12,218
1962-07-31T02,1962,07,31,02,1.12,219
1969-08-22T15,1969,08,22,15,1.12,220
1957-07-03T00,1957,07,03,00,1.11,221
1979-08-25T21,1979,08,25,21,1.11,222
1983-07-31T17,1983,07,31,17,1.11,223
1992-07-15T19,1992,07,15,19,1.11,224
1998-08-20T01,1998,08,20,01,1.11,225
1999-05-06T12,1999,05,06,12,1.11,226
2000-09-21T12,2000,09,21,12,1.11,227
2008-07-10T17,2008,07,10,17,1.11,228
1955-07-07T01,1955,07,07,01,1.10,229
1956-05-03T00,1956,05,03,00,1.10,230
1976-05-14T22,1976,05,14,22,1.10,231
1980-09-28T12,1980,09,28,12,1.10,232
1994-07-08T17,1994,07,08,17,1.10,233
2005-08-29T17,2005,08,29,17,1.10,234
2007-06-29T01,2007,06,29,01,1.10,235
2010-06-04T20,2010,06,04,20,1.10,236
1956-07-16T02,1956,07,16,02,1.09,237
1964-07-18T08,1964,07,18,08,1.09,238
1976-07-05T00,1976,07,05,00,1.09,239
1991-05-17T17,1991,05,17,17,1.09,240
1984-08-29T09,1984,08,29,09,1.08,241
1989-06-15T13,1989,06,15,13,1.08,242
1991-09-24T22,1991,09,24,22,1.08,243
2009-05-16T13,2009,05,16,13,1.08,244
1961-06-28T00,1961,06,28,00,1.07,245
1964-06-23T05,1964,06,23,05,1.07,246
1977-09-07T10,1977,09,07,10,1.07,247
1982-09-02T18,1982,09,02,18,1.07,248
1989-08-15T03,1989,08,15,03,1.07,249
1993-06-23T18,1993,06,23,18,1.07,250
2009-08-27T00,2009,08,27,00,1.07,251
1950-06-04T11,1950,06,04,11,1.06,252
1990-05-27T16,1990,05,27,16,1.06,253
2001-09-24T10,2001,09,24,10,1.06,254
2013-07-26T19,2013,07,26,19,1.06,255
1991-08-30T17,1991,08,30,17,1.05,256
2000-08-27T14,2000,08,27,14,1.05,257
