station 111549,,,,,,
Start Date/Time,Year,Month,Day,Hour,2-hr Precip (in),Rank
2011-07-23T01,2011,07,23,01,5.61,1
2013-06-05T22,2013,06,05,22,4.14,2
2001-08-30T21,2001,08,30,21,3.64,3
2009-09-19T12,2009,09,19,12,3.61,4
1987-08-14T01,1987,08,14,01,3.09,5
1989-08-04T02,1989,08,04,02,3.03,6
1990-08-18T03,1990,08,18,03,2.77,7
1987-08-16T21,1987,08,16,21,2.70,8
2002-08-22T02,2002,08,22,02,2.49,9
1967-06-10T17,1967,06,10,17,2.35,10
1978-09-13T02,1978,09,13,02,2.33,11
1981-05-29T18,1981,05,29,18,2.31,12
2010-05-03T08,2010,05,03,08,2.27,13
1971-08-24T18,1971,08,24,18,2.22,14
1989-09-01T01,1989,09,01,01,2.15,15
1980-08-17T00,1980,08,17,00,2.09,16
2002-07-09T01,2002,07,09,01,2.08,17
2008-07-13T15,2008,07,13,15,2.07,18
2003-08-01T15,2003,08,01,15,2.05,19
2008-09-13T08,2008,09,13,08,2.04,20
1972-08-25T20,1972,08,25,20,1.95,21
1982-07-02T21,1982,07,02,21,1.89,22
2009-07-13T00,2009,07,13,00,1.89,23
1988-09-12T07,1988,09,12,07,1.86,24
1993-07-18T05,1993,07,18,05,1.86,25
1982-08-07T15,1982,08,07,15,1.83,26
2013-05-05T00,2013,05,05,00,1.80,27
2009-09-21T18,2009,09,21,18,1.79,28
1962-07-02T13,1962,07,02,13,1.77,29
1981-07-12T08,1981,07,12,08,1.75,30
1997-07-18T14,1997,07,18,14,1.75,31
1965-07-13T21,1965,07,13,21,1.73,32
2006-09-22T17,2006,09,22,17,1.72,33
2013-09-21T15,2013,09,21,15,1.71,34
1999-07-21T18,1999,07,21,18,1.69,35
2010-05-28T21,2010,05,28,21,1.67,36
1998-08-05T15,1998,08,05,15,1.66,37
1984-07-20T17,1984,07,20,17,1.63,38
2012-07-03T19,2012,07,03,19,1.62,39
1970-06-12T23,1970,06,12,23,1.59,40
1985-08-13T03,1985,08,13,03,1.59,41
1968-08-16T19,1968,08,16,19,1.58,42
1982-07-22T05,1982,07,22,05,1.52,43
1995-07-04T10,1995,07,04,10,1.51,44
2009-08-28T10,2009,08,28,10,1.51,45
2011-05-25T08,2011,05,25,08,1.51,46
1978-09-17T17,1978,09,17,17,1.48,47
1990-06-29T02,1990,06,29,02,1.48,48
2013-08-07T12,2013,08,07,12,1.48,49
1972-09-17T17,1972,09,17,17,1.46,50
2009-06-19T03,2009,06,19,03,1.46,51
2004-05-20T20,2004,05,20,20,1.45,52
2013-07-20T17,2013,07,20,17,1.45,53
1978-06-17T03,1978,06,17,03,1.44,54
2011-05-29T12,2011,05,29,12,1.44,55
1980-08-21T01,1980,08,21,01,1.43,56
1975-08-21T22,1975,08,21,22,1.42,57
1979-08-29T02,1979,08,29,02,1.40,58
1993-08-23T18,1993,08,23,18,1.40,59
1964-07-18T06,1964,07,18,06,1.38,60
1986-09-11T07,1986,09,11,07,1.38,61
1994-06-23T21,1994,06,23,21,1.33,62
1969-09-05T16,1969,09,05,16,1.32,63
2011-05-27T06,2011,05,27,06,1.31,64
1975-08-30T03,1975,08,30,03,1.30,65
2002-08-13T17,2002,08,13,17,1.29,66
2007-07-18T20,2007,07,18,20,1.29,67
2007-08-07T03,2007,08,07,03,1.29,68
2011-07-22T09,2011,07,22,09,1.26,69
1992-09-15T15,1992,09,15,15,1.25,70
1993-08-15T15,1993,08,15,15,1.25,71
2013-07-03T13,2013,07,03,13,1.24,72
