station 111549,,,,,,
Start Date/Time,Year,Month,Day,Hour,6-hr Precip (in),Rank
2011-07-23T03,2011,07,23,03,6.91,1
1987-08-14T01,1987,08,14,01,5.95,2
2001-08-31T00,2001,08,31,00,4.31,3
2013-06-05T22,2013,06,05,22,4.14,4
2008-09-13T07,2008,09,13,07,4.02,5
2002-08-22T05,2002,08,22,05,3.78,6
1989-08-04T05,1989,08,04,05,3.45,7
1968-08-16T22,1968,08,16,22,3.43,8
1981-05-29T20,1981,05,29,20,3.10,9
1967-06-10T20,1967,06,10,20,3.07,10
1990-08-18T05,1990,08,18,05,2.85,11
1987-08-17T00,1987,08,17,00,2.75,12
1978-09-13T05,1978,09,13,05,2.74,13
1962-07-02T13,1962,07,02,13,2.73,14
1994-06-24T00,1994,06,24,00,2.64,15
1972-09-17T20,1972,09,17,20,2.55,16
1972-08-25T22,1972,08,25,22,2.49,17
1980-08-17T00,1980,08,17,00,2.45,18
1975-08-30T07,1975,08,30,07,2.37,19
2002-08-13T18,2002,08,13,18,2.36,20
1989-09-01T05,1989,09,01,05,2.32,21
1990-05-09T18,1990,05,09,18,2.31,22
1971-08-24T20,1971,08,24,20,2.30,23
1978-09-17T19,1978,09,17,19,2.29,24
2003-08-01T18,2003,08,01,18,2.17,25
2009-06-19T13,2009,06,19,13,2.17,26
2008-08-04T22,2008,08,04,22,2.14,27
1982-07-22T08,1982,07,22,08,2.13,28
1979-08-29T05,1979,08,29,05,2.10,29
2002-07-09T04,2002,07,09,04,2.08,30
1982-07-03T00,1982,07,03,00,2.06,31
1982-08-07T17,1982,08,07,17,2.04,32
2008-09-04T19,2008,09,04,19,1.94,33
1988-09-12T09,1988,09,12,09,1.93,34
2007-08-23T18,2007,08,23,18,1.90,35
2011-05-29T14,2011,05,29,14,1.88,36
1964-07-18T05,1964,07,18,05,1.87,37
1977-06-30T09,1977,06,30,09,1.87,38
1993-08-15T15,1993,08,15,15,1.87,39
1998-08-05T17,1998,08,05,17,1.87,40
1993-07-18T09,1993,07,18,09,1.86,41
2003-05-01T02,2003,05,01,02,1.86,42
1997-07-18T18,1997,07,18,18,1.84,43
1972-06-14T21,1972,06,14,21,1.80,44
2013-05-05T00,2013,05,05,00,1.80,45
2011-05-25T09,2011,05,25,09,1.79,46
1972-09-13T07,1972,09,13,07,1.78,47
1999-07-21T21,1999,07,21,21,1.78,48
1973-09-24T23,1973,09,24,23,1.77,49
2006-07-20T10,2006,07,20,10,1.77,50
1965-07-14T01,1965,07,14,01,1.76,51
1981-07-12T09,1981,07,12,09,1.76,52
2001-09-19T02,2001,09,19,02,1.74,53
1990-06-29T06,1990,06,29,06,1.73,54
1995-07-04T13,1995,07,04,13,1.72,55
2006-09-22T21,2006,09,22,21,1.72,56
2002-06-04T07,2002,06,04,07,1.71,57
2013-09-21T15,2013,09,21,15,1.71,58
1991-08-08T07,1991,08,08,07,1.69,59
1984-07-20T19,1984,07,20,19,1.68,60
1985-08-13T07,1985,08,13,07,1.68,61
2010-05-28T21,2010,05,28,21,1.67,62
1993-06-19T03,1993,06,19,03,1.65,63
2012-07-03T19,2012,07,03,19,1.62,64
1970-06-13T03,1970,06,13,03,1.60,65
1977-06-11T05,1977,06,11,05,1.59,66
1970-07-30T05,1970,07,30,05,1.58,67
1983-09-06T01,1983,09,06,01,1.58,68
1989-07-18T21,1989,07,18,21,1.58,69
2006-06-26T01,2006,06,26,01,1.58,70
1990-05-04T07,1990,05,04,07,1.56,71
2009-05-26T23,2009,05,26,23,1.55,72
1972-07-15T01,1972,07,15,01,1.54,73
1980-07-21T01,1980,07,21,01,1.54,74
1986-09-11T10,1986,09,11,10,1.54,75
2007-07-19T00,2007,07,19,00,1.54,76
2013-08-07T12,2013,08,07,12,1.48,77
1978-06-17T07,1978,06,17,07,1.46,78
