station 118179,,,,,,
Start Date/Time,Year,Month,Day,Hour,2-hr Precip (in),Rank
1986-09-20T01,1986,09,20,01,3.43,1
1955-07-14T12,1955,07,14,12,3.29,2
2008-07-12T00,2008,07,12,00,3.29,3
1981-07-27T05,1981,07,27,05,2.91,4
1958-06-10T12,1958,06,10,12,2.68,5
1987-07-04T16,1987,07,04,16,2.63,6
1981-08-02T22,1981,08,02,22,2.62,7
1990-05-15T22,1990,05,15,22,2.60,8
1993-07-01T02,1993,07,01,02,2.58,9
2008-06-03T01,2008,06,03,01,2.55,10
2003-06-25T20,2003,06,25,20,2.50,11
1993-06-04T03,1993,06,04,03,2.49,12
2009-06-16T07,2009,06,16,07,2.26,13
2012-05-20T18,2012,05,20,18,2.22,14
1959-09-26T03,1959,09,26,03,2.16,15
1998-07-07T11,1998,07,07,11,2.15,16
1959-08-06T06,1959,08,06,06,2.13,17
1990-06-20T01,1990,06,20,01,2.08,18
1989-09-01T06,1989,09,01,06,2.07,19
1991-07-11T22,1991,07,11,22,2.05,20
1996-05-08T11,1996,05,08,11,2.02,21
1998-08-18T04,1998,08,18,04,2.02,22
1951-06-28T00,1951,06,28,00,2.01,23
1965-06-01T21,1965,06,01,21,1.99,24
1960-06-11T14,1960,06,11,14,1.90,25
1980-06-01T07,1980,06,01,07,1.84,26
2002-08-19T05,2002,08,19,05,1.84,27
1990-06-14T01,1990,06,14,01,1.82,28
2004-06-15T08,2004,06,15,08,1.77,29
1973-06-18T18,1973,06,18,18,1.75,30
1953-06-25T23,1953,06,25,23,1.71,31
1963-07-06T02,1963,07,06,02,1.71,32
2010-05-26T16,2010,05,26,16,1.66,33
1994-06-08T06,1994,06,08,06,1.65,34
1955-09-29T13,1955,09,29,13,1.63,35
1958-07-27T17,1958,07,27,17,1.62,36
2002-05-12T03,2002,05,12,03,1.62,37
1952-07-02T14,1952,07,02,14,1.60,38
1977-09-30T17,1977,09,30,17,1.58,39
1960-06-20T19,1960,06,20,19,1.57,40
1967-08-08T10,1967,08,08,10,1.57,41
1994-05-24T18,1994,05,24,18,1.56,42
1988-07-25T12,1988,07,25,12,1.55,43
2008-05-30T17,2008,05,30,17,1.55,44
2009-09-20T12,2009,09,20,12,1.55,45
1975-06-25T15,1975,06,25,15,1.52,46
2004-07-10T18,2004,07,10,18,1.52,47
1953-07-30T15,1953,07,30,15,1.51,48
1957-07-13T20,1957,07,13,20,1.51,49
2007-06-26T12,2007,06,26,12,1.50,50
1991-09-03T15,1991,09,03,15,1.48,51
1950-07-03T05,1950,07,03,05,1.47,52
1985-06-11T03,1985,06,11,03,1.45,53
1975-05-26T12,1975,05,26,12,1.43,54
