station 118179,,,,,,
Start Date/Time,Year,Month,Day,Hour,6-hr Precip (in),Rank
1981-08-02T23,1981,08,02,23,4.40,1
1986-09-20T05,1986,09,20,05,4.08,2
1958-06-10T14,1958,06,10,14,4.05,3
1981-07-27T07,1981,07,27,07,3.93,4
2008-07-12T01,2008,07,12,01,3.55,5
1955-07-14T15,1955,07,14,15,3.43,6
1965-06-01T23,1965,06,01,23,3.27,7
1990-06-20T05,1990,06,20,05,3.27,8
2008-06-03T04,2008,06,03,04,3.25,9
1959-09-26T07,1959,09,26,07,3.22,10
1993-06-04T06,1993,06,04,06,3.18,11
1990-05-16T01,1990,05,16,01,3.12,12
1993-07-01T05,1993,07,01,05,3.11,13
1950-07-03T05,1950,07,03,05,3.10,14
1998-08-18T07,1998,08,18,07,3.09,15
1956-08-01T01,1956,08,01,01,3.05,16
1987-07-04T18,1987,07,04,18,2.95,17
1989-09-01T08,1989,09,01,08,2.92,18
1951-06-28T03,1951,06,28,03,2.89,19
2003-06-26T00,2003,06,26,00,2.85,20
1959-08-06T07,1959,08,06,07,2.77,21
1994-06-08T10,1994,06,08,10,2.66,22
2009-06-16T08,2009,06,16,08,2.64,23
1980-06-01T10,1980,06,01,10,2.57,24
1999-08-13T00,1999,08,13,00,2.57,25
2008-09-14T08,2008,09,14,08,2.54,26
2002-05-12T06,2002,05,12,06,2.49,27
1973-06-18T21,1973,06,18,21,2.48,28
2012-09-01T02,2012,09,01,02,2.42,29
1963-07-06T05,1963,07,06,05,2.38,30
2012-05-20T21,2012,05,20,21,2.33,31
1985-06-11T05,1985,06,11,05,2.30,32
1960-06-23T07,1960,06,23,07,2.27,33
1996-05-08T12,1996,05,08,12,2.23,34
1990-06-14T01,1990,06,14,01,2.19,35
1956-07-31T23,1956,07,31,23,2.18,36
1998-07-07T12,1998,07,07,12,2.15,37
1961-09-13T22,1961,09,13,22,2.14,38
1971-07-10T07,1971,07,10,07,2.14,39
2004-07-10T18,2004,07,10,18,2.13,40
1991-07-12T02,1991,07,12,02,2.12,41
1952-07-02T15,1952,07,02,15,2.07,42
1980-09-16T06,1980,09,16,06,2.05,43
1994-05-24T20,1994,05,24,20,2.05,44
1990-07-21T22,1990,07,21,22,2.01,45
1968-06-15T00,1968,06,15,00,1.98,46
2002-08-19T08,2002,08,19,08,1.93,47
2004-06-15T12,2004,06,15,12,1.93,48
1975-08-25T23,1975,08,25,23,1.92,49
1991-09-03T18,1991,09,03,18,1.92,50
1968-05-23T01,1968,05,23,01,1.91,51
1960-06-11T14,1960,06,11,14,1.90,52
2008-05-30T19,2008,05,30,19,1.89,53
1960-06-20T21,1960,06,20,21,1.88,54
1953-06-26T03,1953,06,26,03,1.84,55
1965-09-16T04,1965,09,16,04,1.83,56
1977-06-10T09,1977,06,10,09,1.83,57
1974-08-09T17,1974,08,09,17,1.82,58
1955-08-29T22,1955,08,29,22,1.80,59
1981-07-04T10,1981,07,04,10,1.79,60
1978-07-02T03,1978,07,02,03,1.78,61
2010-05-26T18,2010,05,26,18,1.76,62
2001-08-23T03,2001,08,23,03,1.73,63
1991-05-05T01,1991,05,05,01,1.72,64
1975-06-25T19,1975,06,25,19,1.71,65
1963-08-12T15,1963,08,12,15,1.70,66
1955-09-29T15,1955,09,29,15,1.69,67
1957-07-14T00,1957,07,14,00,1.66,68
1967-07-24T01,1967,07,24,01,1.65,69
1967-08-08T12,1967,08,08,12,1.65,70
2009-09-20T13,2009,09,20,13,1.65,71
1958-07-27T18,1958,07,27,18,1.63,72
1965-08-30T22,1965,08,30,22,1.61,73
1977-09-30T21,1977,09,30,21,1.60,74
1992-07-30T07,1992,07,30,07,1.58,75
2009-05-13T10,2009,05,13,10,1.58,76
1961-06-30T08,1961,06,30,08,1.56,77
1988-07-25T12,1988,07,25,12,1.55,78
2003-08-31T12,2003,08,31,12,1.55,79
1963-08-19T04,1963,08,19,04,1.52,80
1948-07-25T21,1948,07,25,21,1.51,81
1953-07-30T19,1953,07,30,19,1.51,82
1995-05-16T22,1995,05,16,22,1.51,83
1997-08-17T07,1997,08,17,07,1.51,84
2007-06-26T13,2007,06,26,13,1.51,85
1968-09-17T23,1968,09,17,23,1.50,86
1961-07-19T05,1961,07,19,05,1.49,87
1986-06-27T21,1986,06,27,21,1.49,88
2008-07-08T19,2008,07,08,19,1.49,89
2010-05-17T04,2010,05,17,04,1.49,90
1992-07-26T01,1992,07,26,01,1.48,91
2000-06-20T23,2000,06,20,23,1.48,92
2005-09-19T22,2005,09,19,22,1.48,93
1975-09-19T02,1975,09,19,02,1.47,94
1989-05-25T19,1989,05,25,19,1.46,95
1974-05-21T14,1974,05,21,14,1.45,96
2010-06-09T00,2010,06,09,00,1.45,97
1984-09-08T18,1984,09,08,18,1.44,98
1962-07-13T17,1962,07,13,17,1.43,99
1975-05-26T15,1975,05,26,15,1.43,100
2005-08-19T01,2005,08,19,01,1.42,101
1968-07-27T08,1968,07,27,08,1.40,102
1970-09-26T02,1970,09,26,02,1.40,103
1974-08-10T13,1974,08,10,13,1.40,104
2002-05-07T04,2002,05,07,04,1.40,105
2002-07-26T09,2002,07,26,09,1.40,106
1950-06-19T03,1950,06,19,03,1.39,107
1974-08-28T13,1974,08,28,13,1.39,108
1973-07-19T22,1973,07,19,22,1.38,109
1979-07-24T08,1979,07,24,08,1.38,110
1999-08-23T20,1999,08,23,20,1.38,111
1970-05-01T00,1970,05,01,00,1.37,112
1984-09-23T08,1984,09,23,08,1.37,113
2003-06-13T11,2003,06,13,11,1.37,114
1949-06-14T22,1949,06,14,22,1.36,115
1986-07-28T03,1986,07,28,03,1.36,116
1949-09-12T08,1949,09,12,08,1.35,117
1956-05-26T07,1956,05,26,07,1.35,118
1961-08-01T21,1961,08,01,21,1.35,119
1977-09-04T17,1977,09,04,17,1.35,120
1979-08-01T08,1979,08,01,08,1.35,121
1981-06-15T23,1981,06,15,23,1.35,122
1984-05-13T06,1984,05,13,06,1.35,123
1991-05-18T03,1991,05,18,03,1.35,124
1949-08-11T17,1949,08,11,17,1.34,125
1996-07-21T06,1996,07,21,06,1.34,126
2010-05-25T15,2010,05,25,15,1.34,127
1985-08-04T20,1985,08,04,20,1.33,128
1957-06-11T03,1957,06,11,03,1.32,129
2012-08-31T23,2012,08,31,23,1.32,130
1972-08-12T21,1972,08,12,21,1.31,131
1975-05-06T19,1975,05,06,19,1.31,132
1977-05-04T21,1977,05,04,21,1.31,133
2002-06-11T17,2002,06,11,17,1.31,134
1995-05-24T04,1995,05,24,04,1.30,135
2008-09-04T17,2008,09,04,17,1.30,136
2013-05-27T16,2013,05,27,16,1.30,137
1965-08-07T19,1965,08,07,19,1.29,138
1954-06-08T11,1954,06,08,11,1.28,139
1991-09-10T04,1991,09,10,04,1.28,140
1999-09-28T17,1999,09,28,17,1.28,141
2009-06-11T02,2009,06,11,02,1.28,142
1986-05-26T04,1986,05,26,04,1.27,143
2007-06-23T15,2007,06,23,15,1.27,144
1954-08-19T21,1954,08,19,21,1.26,145
1957-05-17T03,1957,05,17,03,1.25,146
1998-06-29T21,1998,06,29,21,1.25,147
2008-06-04T00,2008,06,04,00,1.25,148
1955-05-28T07,1955,05,28,07,1.24,149
1981-05-18T04,1981,05,18,04,1.24,150
1985-08-15T08,1985,08,15,08,1.24,151
1958-06-13T16,1958,06,13,16,1.23,152
1981-08-05T19,1981,08,05,19,1.23,153
2000-06-11T11,2000,06,11,11,1.23,154
1963-07-28T19,1963,07,28,19,1.22,155
1980-08-16T07,1980,08,16,07,1.22,156
1982-05-21T02,1982,05,21,02,1.22,157
1986-06-07T00,1986,06,07,00,1.22,158
1993-07-23T19,1993,07,23,19,1.22,159
1952-06-09T02,1952,06,09,02,1.21,160
1966-05-21T02,1966,05,21,02,1.21,161
1989-08-28T13,1989,08,28,13,1.21,162
2010-06-22T11,2010,06,22,11,1.21,163
1949-05-19T12,1949,05,19,12,1.20,164
1963-07-04T12,1963,07,04,12,1.20,165
2001-06-06T05,2001,06,06,05,1.20,166
2002-08-23T08,2002,08,23,08,1.20,167
1960-07-10T07,1960,07,10,07,1.19,168
1960-07-25T12,1960,07,25,12,1.18,169
2003-07-10T01,2003,07,10,01,1.18,170
1982-09-14T16,1982,09,14,16,1.17,171
1993-07-22T08,1993,07,22,08,1.17,172
1964-08-21T06,1964,08,21,06,1.16,173
1977-08-28T21,1977,08,28,21,1.16,174
1988-09-19T11,1988,09,19,11,1.16,175
1958-06-01T01,1958,06,01,01,1.15,176
1959-07-23T07,1959,07,23,07,1.15,177
1994-06-23T18,1994,06,23,18,1.15,178
1970-06-04T09,1970,06,04,09,1.13,179
1984-05-25T20,1984,05,25,20,1.13,180
2009-05-15T21,2009,05,15,21,1.12,181
1971-07-09T02,1971,07,09,02,1.11,182
1977-05-06T08,1977,05,06,08,1.11,183
1978-08-02T01,1978,08,02,01,1.11,184
1981-07-14T02,1981,07,14,02,1.11,185
1988-09-16T11,1988,09,16,11,1.11,186
2000-07-11T05,2000,07,11,05,1.11,187
2000-08-05T10,2000,08,05,10,1.11,188
2013-05-03T18,2013,05,03,18,1.11,189
2001-07-17T17,2001,07,17,17,1.10,190
2004-05-25T01,2004,05,25,01,1.10,191
2010-05-31T13,2010,05,31,13,1.10,192
2011-06-19T06,2011,06,19,06,1.10,193
1955-08-02T19,1955,08,02,19,1.09,194
1989-07-23T17,1989,07,23,17,1.09,195
2003-09-01T01,2003,09,01,01,1.09,196
1961-05-07T23,1961,05,07,23,1.08,197
2002-06-13T06,2002,06,13,06,1.08,198
2008-05-11T04,2008,05,11,04,1.08,199
2011-06-27T03,2011,06,27,03,1.08,200
1948-07-22T09,1948,07,22,09,1.07,201
1990-07-29T19,1990,07,29,19,1.07,202
2002-06-04T21,2002,06,04,21,1.07,203
1982-08-31T18,1982,08,31,18,1.06,204
1984-07-15T05,1984,07,15,05,1.06,205
1997-09-08T19,1997,09,08,19,1.06,206
2001-06-04T08,2001,06,04,08,1.06,207
2013-05-31T00,2013,05,31,00,1.06,208
1970-09-14T08,1970,09,14,08,1.05,209
1984-06-13T16,1984,06,13,16,1.05,210
1991-08-29T12,1991,08,29,12,1.05,211
1958-07-11T11,1958,07,11,11,1.04,212
1976-06-24T08,1976,06,24,08,1.04,213
1984-09-10T22,1984,09,10,22,1.04,214
1956-06-22T11,1956,06,22,11,1.03,215
1959-08-04T09,1959,08,04,09,1.03,216
1968-05-25T11,1968,05,25,11,1.03,217
1998-06-11T10,1998,06,11,10,1.03,218
2005-05-19T05,2005,05,19,05,1.03,219
2010-06-19T02,2010,06,19,02,1.03,220
1969-09-17T02,1969,09,17,02,1.02,221
1981-06-08T21,1981,06,08,21,1.02,222
1986-07-10T06,1986,07,10,06,1.02,223
1948-08-18T00,1948,08,18,00,1.01,224
1965-09-22T07,1965,09,22,07,1.01,225
1966-05-17T11,1966,05,17,11,1.01,226
1967-09-19T22,1967,09,19,22,1.01,227
1996-07-14T14,1996,07,14,14,1.01,228
1957-07-15T10,1957,07,15,10,1.00,229
1963-07-13T09,1963,07,13,09,1.00,230
1966-09-03T15,1966,09,03,15,1.00,231
1986-06-05T17,1986,06,05,17,1.00,232
2007-06-22T03,2007,06,22,03,1.00,233
1970-09-22T09,1970,09,22,09,0.99,234
