station 266779,,,,,,
Start Date/Time,Year,Month,Day,Hour,2-hr Precip (in),Rank
1987-05-17T15,1987,05,17,15,1.54,1
1963-05-24T18,1963,05,24,18,1.28,2
2013-08-08T19,2013,08,08,19,0.90,3
1949-07-12T16,1949,07,12,16,0.80,4
1965-08-14T17,1965,08,14,17,0.79,5
1950-09-10T18,1950,09,10,18,0.75,6
1971-05-20T21,1971,05,20,21,0.74,7
1971-07-31T16,1971,07,31,16,0.63,8
2002-08-02T15,2002,08,02,15,0.59,9
1988-06-20T18,1988,06,20,18,0.57,10
2000-08-02T16,2000,08,02,16,0.50,11
1996-06-26T13,1996,06,26,13,0.48,12
1986-07-22T19,1986,07,22,19,0.44,13
2009-06-08T19,2009,06,08,19,0.43,14
1973-08-02T14,1973,08,02,14,0.42,15
1973-05-31T12,1973,05,31,12,0.40,16
1997-06-08T19,1997,06,08,19,0.40,17
1989-06-26T18,1989,06,26,18,0.39,18
1964-05-26T13,1964,05,26,13,0.38,19
1967-08-25T17,1967,08,25,17,0.38,20
1998-06-06T20,1998,06,06,20,0.38,21
1950-06-15T03,1950,06,15,03,0.37,22
1951-09-17T18,1951,09,17,18,0.37,23
1971-05-27T11,1971,05,27,11,0.37,24
1980-09-05T17,1980,09,05,17,0.37,25
1997-09-19T02,1997,09,19,02,0.37,26
2009-05-30T17,2009,05,30,17,0.37,27
1967-08-24T15,1967,08,24,15,0.36,28
1956-07-20T17,1956,07,20,17,0.35,29
1987-06-13T17,1987,06,13,17,0.35,30
1994-05-07T02,1994,05,07,02,0.35,31
2011-06-05T20,2011,06,05,20,0.35,32
1959-05-22T11,1959,05,22,11,0.34,33
1963-06-14T21,1963,06,14,21,0.34,34
1976-08-01T15,1976,08,01,15,0.34,35
1995-05-22T16,1995,05,22,16,0.34,36
1956-09-19T13,1956,09,19,13,0.33,37
1963-05-28T15,1963,05,28,15,0.33,38
1981-08-13T16,1981,08,13,16,0.33,39
2005-07-29T18,2005,07,29,18,0.33,40
1996-05-16T05,1996,05,16,05,0.32,41
2003-06-23T11,2003,06,23,11,0.32,42
2009-06-04T23,2009,06,04,23,0.32,43
1955-05-08T04,1955,05,08,04,0.31,44
1956-05-19T18,1956,05,19,18,0.31,45
1962-05-16T04,1962,05,16,04,0.31,46
1967-06-12T18,1967,06,12,18,0.31,47
1969-06-09T00,1969,06,09,00,0.31,48
1952-07-26T15,1952,07,26,15,0.30,49
1976-07-17T14,1976,07,17,14,0.30,50
1984-07-23T14,1984,07,23,14,0.30,51
1992-06-15T07,1992,06,15,07,0.29,52
1951-05-05T23,1951,05,05,23,0.28,53
1952-07-14T17,1952,07,14,17,0.28,54
1963-05-23T17,1963,05,23,17,0.28,55
1975-09-09T20,1975,09,09,20,0.28,56
1989-06-07T15,1989,06,07,15,0.28,57
1990-07-12T18,1990,07,12,18,0.28,58
1998-09-11T22,1998,09,11,22,0.28,59
1951-06-21T02,1951,06,21,02,0.27,60
1953-05-28T23,1953,05,28,23,0.27,61
1976-09-15T08,1976,09,15,08,0.27,62
1989-05-14T19,1989,05,14,19,0.27,63
1949-05-14T00,1949,05,14,00,0.26,64
1967-07-28T16,1967,07,28,16,0.26,65
1972-05-19T04,1972,05,19,04,0.26,66
1977-06-18T20,1977,06,18,20,0.26,67
1982-06-17T19,1982,06,17,19,0.26,68
1982-09-29T02,1982,09,29,02,0.26,69
1955-07-22T15,1955,07,22,15,0.25,70
1957-09-17T20,1957,09,17,20,0.25,71
1958-09-07T15,1958,09,07,15,0.25,72
1959-05-21T23,1959,05,21,23,0.25,73
1975-08-20T20,1975,08,20,20,0.25,74
1979-07-20T21,1979,07,20,21,0.25,75
1986-06-12T18,1986,06,12,18,0.25,76
1992-06-24T16,1992,06,24,16,0.25,77
1997-06-14T00,1997,06,14,00,0.25,78
1998-09-05T19,1998,09,05,19,0.25,79
1961-07-12T17,1961,07,12,17,0.24,80
1963-06-09T23,1963,06,09,23,0.24,81
1970-06-27T00,1970,06,27,00,0.24,82
1975-08-19T00,1975,08,19,00,0.24,83
1995-06-01T15,1995,06,01,15,0.24,84
1999-08-07T02,1999,08,07,02,0.24,85
2006-07-21T20,2006,07,21,20,0.24,86
2012-05-25T09,2012,05,25,09,0.24,87
1973-07-18T16,1973,07,18,16,0.23,88
1976-09-11T00,1976,09,11,00,0.23,89
1987-06-30T15,1987,06,30,15,0.23,90
1992-06-17T17,1992,06,17,17,0.23,91
1996-09-15T22,1996,09,15,22,0.23,92
2002-08-01T17,2002,08,01,17,0.23,93
2008-07-14T15,2008,07,14,15,0.23,94
2013-07-25T15,2013,07,25,15,0.23,95
1949-05-15T19,1949,05,15,19,0.22,96
1951-06-20T18,1951,06,20,18,0.22,97
1953-06-01T01,1953,06,01,01,0.22,98
1960-07-26T18,1960,07,26,18,0.22,99
1960-07-30T13,1960,07,30,13,0.22,100
1970-06-12T04,1970,06,12,04,0.22,101
1981-05-26T17,1981,05,26,17,0.22,102
1982-09-16T01,1982,09,16,01,0.22,103
1983-09-28T15,1983,09,28,15,0.22,104
1991-09-10T01,1991,09,10,01,0.22,105
1994-05-06T14,1994,05,06,14,0.22,106
1953-07-17T17,1953,07,17,17,0.21,107
1967-08-17T20,1967,08,17,20,0.21,108
1967-09-17T23,1967,09,17,23,0.21,109
1980-07-02T15,1980,07,02,15,0.21,110
1989-05-09T13,1989,05,09,13,0.21,111
1994-05-08T19,1994,05,08,19,0.21,112
1998-09-09T04,1998,09,09,04,0.21,113
2013-07-02T16,2013,07,02,16,0.21,114
1964-05-05T15,1964,05,05,15,0.20,115
1965-09-07T07,1965,09,07,07,0.20,116
1966-05-09T22,1966,05,09,22,0.20,117
1975-08-21T15,1975,08,21,15,0.20,118
1978-09-07T01,1978,09,07,01,0.20,119
1978-09-14T00,1978,09,14,00,0.20,120
1980-08-22T17,1980,08,22,17,0.20,121
1982-09-24T02,1982,09,24,02,0.20,122
1989-06-04T07,1989,06,04,07,0.20,123
1989-09-18T08,1989,09,18,08,0.20,124
2003-08-02T02,2003,08,02,02,0.20,125
1949-05-19T06,1949,05,19,06,0.19,126
1953-05-14T19,1953,05,14,19,0.19,127
1960-07-28T19,1960,07,28,19,0.19,128
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
