station 311690,,,,,,
Start Date/Time,Year,Month,Day,Hour,6-hr Precip (in),Rank
1948-08-03T20,1948,08,03,20,5.01,1
1997-07-23T04,1997,07,23,04,4.75,2
1978-08-03T20,1978,08,03,20,4.24,3
1979-09-30T03,1979,09,30,03,4.15,4
2004-07-18T00,2004,07,18,00,4.14,5
2008-08-26T11,2008,08,26,11,3.85,6
2008-08-27T01,2008,08,27,01,3.59,7
1949-06-13T07,1949,06,13,07,3.52,8
1992-09-28T05,1992,09,28,05,3.31,9
1952-08-31T11,1952,08,31,11,3.03,10
1975-08-27T22,1975,08,27,22,2.99,11
1972-07-26T19,1972,07,26,19,2.82,12
1995-08-27T17,1995,08,27,17,2.78,13
1975-07-25T00,1975,07,25,00,2.71,14
1959-09-29T17,1959,09,29,17,2.67,15
2013-09-21T23,2013,09,21,23,2.67,16
1979-06-16T17,1979,06,16,17,2.64,17
1989-09-22T07,1989,09,22,07,2.60,18
2006-06-25T16,2006,06,25,16,2.60,19
2011-08-05T14,2011,08,05,14,2.49,20
2003-08-04T23,2003,08,04,23,2.47,21
1992-09-05T18,1992,09,05,18,2.45,22
2006-07-23T01,2006,07,23,01,2.45,23
1983-08-24T03,1983,08,24,03,2.35,24
1997-06-14T01,1997,06,14,01,2.33,25
2012-05-09T00,2012,05,09,00,2.33,26
1965-07-28T09,1965,07,28,09,2.32,27
1975-05-30T06,1975,05,30,06,2.28,28
1974-09-06T13,1974,09,06,13,2.19,29
1948-09-29T10,1948,09,29,10,2.18,30
2006-08-11T00,2006,08,11,00,2.18,31
1955-05-22T21,1955,05,22,21,2.17,32
1960-05-08T04,1960,05,08,04,2.17,33
2009-05-05T20,2009,05,05,20,2.17,34
2013-06-03T03,2013,06,03,03,2.17,35
1949-07-16T01,1949,07,16,01,2.11,36
1967-07-07T10,1967,07,07,10,2.07,37
1985-06-07T20,1985,06,07,20,2.07,38
1998-07-27T07,1998,07,27,07,2.07,39
1985-08-17T10,1985,08,17,10,2.06,40
1976-09-26T14,1976,09,26,14,2.05,41
1963-09-28T20,1963,09,28,20,2.04,42
1959-08-30T10,1959,08,30,10,2.01,43
1974-09-28T04,1974,09,28,04,2.01,44
1969-08-02T23,1969,08,02,23,2.00,45
1967-08-22T16,1967,08,22,16,1.98,46
1966-09-19T14,1966,09,19,14,1.97,47
1994-08-17T00,1994,08,17,00,1.97,48
1998-06-10T11,1998,06,10,11,1.95,49
1968-06-09T06,1968,06,09,06,1.91,50
1970-07-21T22,1970,07,21,22,1.91,51
1991-07-26T22,1991,07,26,22,1.87,52
1995-05-02T02,1995,05,02,02,1.87,53
2003-05-22T08,2003,05,22,08,1.87,54
1987-06-18T21,1987,06,18,21,1.86,55
1997-07-24T01,1997,07,24,01,1.86,56
1987-08-02T22,1987,08,02,22,1.85,57
1989-07-04T11,1989,07,04,11,1.84,58
1985-05-16T01,1985,05,16,01,1.83,59
2005-06-27T19,2005,06,27,19,1.83,60
2011-06-29T00,2011,06,29,00,1.83,61
1951-09-22T23,1951,09,22,23,1.80,62
1955-09-30T20,1955,09,30,20,1.80,63
1961-06-05T16,1961,06,05,16,1.80,64
2004-06-23T21,2004,06,23,21,1.80,65
1975-07-15T13,1975,07,15,13,1.79,66
