station 311690,,,,,,
Start Date/Time,Year,Month,Day,Hour,48-hr Precip (in),Rank
1990-10-12T11,1990,10,12,11,6.65,1
1976-10-09T04,1976,10,09,04,6.25,2
1955-10-02T12,1955,10,02,12,5.57,3
1959-10-01T03,1959,10,01,03,4.89,4
1979-10-01T11,1979,10,01,11,4.54,5
1992-10-05T11,1992,10,05,11,4.37,6
1999-10-11T21,1999,10,11,21,4.30,7
1977-03-30T22,1977,03,30,22,4.14,8
2005-10-08T02,2005,10,08,02,4.10,9
1952-03-04T20,1952,03,04,20,3.90,10
1948-11-28T18,1948,11,28,18,3.83,11
1985-11-22T08,1985,11,22,08,3.80,12
1995-10-05T18,1995,10,05,18,3.64,13
1962-01-07T15,1962,01,07,15,3.57,14
1977-10-26T12,1977,10,26,12,3.56,15
1964-10-05T20,1964,10,05,20,3.54,16
1979-02-25T15,1979,02,25,15,3.54,17
1989-10-01T22,1989,10,01,22,3.52,18
1987-03-01T00,1987,03,01,00,3.50,19
1949-10-08T16,1949,10,08,16,3.47,20
1964-04-08T08,1964,04,08,08,3.45,21
1962-04-13T00,1962,04,13,00,3.42,22
1964-10-16T20,1964,10,16,20,3.42,23
2009-11-12T10,2009,11,12,10,3.42,24
2007-03-02T10,2007,03,02,10,3.41,25
1961-12-12T10,1961,12,12,10,3.39,26
1981-10-27T00,1981,10,27,00,3.39,27
1975-03-14T07,1975,03,14,07,3.37,28
1970-10-31T10,1970,10,31,10,3.30,29
1990-10-23T15,1990,10,23,15,3.30,30
2003-04-10T14,2003,04,10,14,3.20,31
1985-02-02T02,1985,02,02,02,3.09,32
1968-03-12T09,1968,03,12,09,3.08,33
1972-12-15T11,1972,12,15,11,3.08,34
2006-11-23T03,2006,11,23,03,3.06,35
2009-03-02T03,2009,03,02,03,3.03,36
1954-01-22T23,1954,01,22,23,2.99,37
1955-02-07T22,1955,02,07,22,2.95,38
1989-03-24T01,1989,03,24,01,2.94,39
1973-02-02T17,1973,02,02,17,2.92,40
1991-03-03T21,1991,03,03,21,2.91,41
1961-02-22T05,1961,02,22,05,2.90,42
1985-01-04T08,1985,01,04,08,2.89,43
