station 356751,,,,,,
Start Date/Time,Year,Month,Day,Hour,48-hr Precip (in),Rank
1949-02-24T09,1949,02,24,09,6.05,1
1994-10-28T07,1994,10,28,07,5.01,2
2006-11-07T09,2006,11,07,09,4.47,3
1996-11-19T16,1996,11,19,16,4.38,4
1996-02-07T22,1996,02,07,22,4.08,5
1974-01-16T17,1974,01,16,17,3.81,6
1980-12-03T23,1980,12,03,23,3.77,7
1960-11-24T20,1960,11,24,20,3.55,8
1956-01-04T08,1956,01,04,08,3.54,9
1964-12-22T20,1964,12,22,20,3.54,10
1980-12-26T00,1980,12,26,00,3.47,11
1955-12-21T16,1955,12,21,16,3.33,12
2009-01-02T13,2009,01,02,13,3.30,13
1977-12-14T11,1977,12,14,11,3.24,14
2007-12-03T23,2007,12,03,23,3.23,15
2012-01-19T13,2012,01,19,13,3.20,16
1950-11-16T22,1950,11,16,22,3.17,17
1973-11-16T01,1973,11,16,01,3.16,18
1951-10-23T07,1951,10,23,07,3.14,19
1965-12-28T06,1965,12,28,06,3.12,20
1994-11-01T18,1994,11,01,18,3.11,21
1953-01-09T00,1953,01,09,00,2.99,22
1995-11-11T20,1995,11,11,20,2.99,23
2003-01-31T17,2003,01,31,17,2.98,24
1968-02-19T15,1968,02,19,15,2.97,25
1984-11-03T10,1984,11,03,10,2.93,26
1998-11-26T18,1998,11,26,18,2.93,27
1982-02-20T10,1982,02,20,10,2.91,28
1961-02-11T01,1961,02,11,01,2.90,29
1987-12-03T02,1987,12,03,02,2.89,30
1950-01-20T15,1950,01,20,15,2.88,31
1987-02-01T12,1987,02,01,12,2.85,32
1981-12-06T18,1981,12,06,18,2.83,33
2012-11-20T13,2012,11,20,13,2.78,34
1994-02-24T21,1994,02,24,21,2.77,35
1964-01-26T00,1964,01,26,00,2.75,36
1973-11-10T11,1973,11,10,11,2.75,37
1982-12-16T04,1982,12,16,04,2.69,38
1955-10-10T12,1955,10,10,12,2.67,39
1949-02-10T12,1949,02,10,12,2.64,40
1970-01-24T02,1970,01,24,02,2.63,41
1954-02-13T12,1954,02,13,12,2.61,42
1998-12-29T03,1998,12,29,03,2.59,43
1970-02-16T20,1970,02,16,20,2.53,44
1955-11-19T09,1955,11,19,09,2.48,45
1980-11-08T11,1980,11,08,11,2.48,46
2011-03-01T15,2011,03,01,15,2.45,47
1984-11-28T20,1984,11,28,20,2.44,48
1972-12-22T10,1972,12,22,10,2.42,49
1953-12-20T21,1953,12,20,21,2.38,50
1975-01-25T22,1975,01,25,22,2.36,51
2005-03-27T20,2005,03,27,20,2.36,52
1962-11-26T12,1962,11,26,12,2.35,53
1968-12-05T02,1968,12,05,02,2.34,54
1949-11-24T09,1949,11,24,09,2.33,55
1966-01-03T17,1966,01,03,17,2.32,56
1996-12-30T16,1996,12,30,16,2.30,57
1974-11-21T12,1974,11,21,12,2.28,58
1956-01-16T02,1956,01,16,02,2.27,59
2002-01-08T05,2002,01,08,05,2.27,60
1972-01-20T23,1972,01,20,23,2.26,61
1963-03-30T09,1963,03,30,09,2.23,62
1980-01-09T16,1980,01,09,16,2.23,63
1975-01-14T07,1975,01,14,07,2.22,64
1980-01-13T16,1980,01,13,16,2.21,65
1982-01-24T02,1982,01,24,02,2.21,66
1999-02-07T10,1999,02,07,10,2.16,67
1959-01-09T10,1959,01,09,10,2.15,68
1997-10-30T21,1997,10,30,21,2.15,69
1957-03-08T07,1957,03,08,07,2.14,70
1966-12-05T13,1966,12,05,13,2.13,71
1983-11-03T23,1983,11,03,23,2.13,72
1982-10-29T18,1982,10,29,18,2.12,73
1997-01-18T13,1997,01,18,13,2.12,74
2005-12-31T16,2005,12,31,16,2.10,75
1953-10-11T00,1953,10,11,00,2.04,76
1989-12-04T19,1989,12,04,19,2.03,77
2009-12-16T16,2009,12,16,16,2.03,78
1954-01-05T00,1954,01,05,00,2.02,79
1969-12-12T12,1969,12,12,12,2.02,80
1976-02-27T16,1976,02,27,16,2.02,81
2001-12-02T04,2001,12,02,04,2.02,82
2012-03-31T10,2012,03,31,10,2.01,83
1968-12-11T08,1968,12,11,08,1.99,84
1969-01-07T07,1969,01,07,07,1.99,85
1955-11-26T16,1955,11,26,16,1.98,86
1959-10-12T02,1959,10,12,02,1.98,87
1988-01-14T18,1988,01,14,18,1.98,88
1951-12-04T16,1951,12,04,16,1.96,89
1964-01-19T16,1964,01,19,16,1.96,90
1973-01-13T04,1973,01,13,04,1.96,91
1950-01-07T19,1950,01,07,19,1.95,92
1982-12-04T00,1982,12,04,00,1.95,93
1990-01-07T20,1990,01,07,20,1.95,94
1997-01-31T23,1997,01,31,23,1.95,95
1998-11-22T04,1998,11,22,04,1.95,96
1971-01-16T15,1971,01,16,15,1.94,97
2006-01-10T22,2006,01,10,22,1.94,98
1969-11-06T02,1969,11,06,02,1.93,99
1996-04-23T20,1996,04,23,20,1.92,100
1997-01-01T11,1997,01,01,11,1.91,101
2002-12-31T17,2002,12,31,17,1.91,102
1950-02-25T00,1950,02,25,00,1.90,103
1953-12-09T23,1953,12,09,23,1.90,104
1957-02-25T22,1957,02,25,22,1.90,105
1961-12-20T19,1961,12,20,19,1.90,106
1969-12-22T19,1969,12,22,19,1.90,107
1995-11-29T07,1995,11,29,07,1.90,108
1998-12-02T03,1998,12,02,03,1.89,109
1954-01-27T13,1954,01,27,13,1.88,110
1963-02-02T13,1963,02,02,13,1.88,111
1962-11-21T02,1962,11,21,02,1.87,112
1971-04-10T00,1971,04,10,00,1.87,113
1979-12-03T06,1979,12,03,06,1.87,114
1962-03-26T02,1962,03,26,02,1.86,115
1973-12-28T07,1973,12,28,07,1.86,116
1977-11-25T15,1977,11,25,15,1.86,117
1992-02-20T05,1992,02,20,05,1.86,118
1953-11-17T14,1953,11,17,14,1.85,119
1968-11-08T17,1968,11,08,17,1.85,120
1983-03-30T22,1983,03,30,22,1.85,121
1992-12-10T07,1992,12,10,07,1.85,122
1953-01-19T16,1953,01,19,16,1.84,123
1989-02-17T23,1989,02,17,23,1.84,124
1958-11-06T15,1958,11,06,15,1.82,125
1961-11-23T08,1961,11,23,08,1.81,126
1969-01-01T05,1969,01,01,05,1.81,127
1996-01-20T12,1996,01,20,12,1.81,128
1965-01-25T01,1965,01,25,01,1.80,129
1983-03-10T04,1983,03,10,04,1.80,130
1986-11-28T09,1986,11,28,09,1.80,131
1991-12-07T02,1991,12,07,02,1.80,132
1953-11-23T00,1953,11,23,00,1.79,133
1954-01-22T22,1954,01,22,22,1.79,134
1974-11-07T22,1974,11,07,22,1.79,135
1977-12-03T11,1977,12,03,11,1.79,136
1983-01-07T08,1983,01,07,08,1.79,137
1983-02-18T18,1983,02,18,18,1.79,138
1961-01-06T17,1961,01,06,17,1.78,139
1971-11-26T09,1971,11,26,09,1.78,140
1970-01-14T08,1970,01,14,08,1.77,141
1971-12-22T04,1971,12,22,04,1.77,142
1992-11-22T21,1992,11,22,21,1.77,143
1999-01-18T05,1999,01,18,05,1.77,144
1995-12-12T04,1995,12,12,04,1.76,145
1972-12-18T20,1972,12,18,20,1.75,146
1975-12-04T11,1975,12,04,11,1.74,147
1994-12-01T02,1994,12,01,02,1.74,148
1999-11-26T02,1999,11,26,02,1.73,149
1981-12-15T07,1981,12,15,07,1.72,150
2003-12-14T23,2003,12,14,23,1.72,151
2005-10-01T21,2005,10,01,21,1.72,152
1956-02-21T15,1956,02,21,15,1.71,153
1968-02-03T16,1968,02,03,16,1.71,154
1963-11-15T17,1963,11,15,17,1.70,155
1965-04-20T09,1965,04,20,09,1.70,156
1968-10-12T13,1968,10,12,13,1.70,157
1979-10-19T23,1979,10,19,23,1.70,158
1982-12-21T19,1982,12,21,19,1.70,159
1983-12-30T23,1983,12,30,23,1.70,160
2006-12-26T15,2006,12,26,15,1.70,161
2011-04-16T00,2011,04,16,00,1.70,162
1987-03-03T18,1987,03,03,18,1.69,163
2006-01-30T02,2006,01,30,02,1.69,164
1970-12-30T14,1970,12,30,14,1.68,165
1954-03-09T16,1954,03,09,16,1.67,166
1995-11-25T15,1995,11,25,15,1.67,167
1996-03-05T11,1996,03,05,11,1.67,168
1981-10-07T10,1981,10,07,10,1.66,169
1993-01-21T02,1993,01,21,02,1.66,170
1967-01-28T03,1967,01,28,03,1.65,171
1957-12-20T23,1957,12,20,23,1.64,172
1986-02-16T12,1986,02,16,12,1.64,173
2003-02-17T17,2003,02,17,17,1.64,174
1982-01-17T16,1982,01,17,16,1.63,175
1991-03-04T11,1991,03,04,11,1.63,176
1964-11-25T07,1964,11,25,07,1.62,177
1966-03-09T15,1966,03,09,15,1.62,178
1966-11-15T03,1966,11,15,03,1.62,179
1979-01-11T17,1979,01,11,17,1.62,180
1999-02-28T20,1999,02,28,20,1.62,181
2006-12-14T18,2006,12,14,18,1.62,182
2007-01-04T10,2007,01,04,10,1.62,183
1955-04-12T17,1955,04,12,17,1.61,184
1969-02-09T12,1969,02,09,12,1.61,185
1994-12-17T16,1994,12,17,16,1.61,186
2000-01-13T04,2000,01,13,04,1.61,187
1950-10-28T17,1950,10,28,17,1.60,188
2013-01-29T11,2013,01,29,11,1.60,189
1967-03-15T04,1967,03,15,04,1.58,190
2012-10-30T11,2012,10,30,11,1.57,191
1970-11-24T23,1970,11,24,23,1.56,192
1972-02-28T21,1972,02,28,21,1.56,193
1973-12-13T21,1973,12,13,21,1.56,194
1988-04-21T21,1988,04,21,21,1.56,195
1951-02-07T20,1951,02,07,20,1.55,196
1959-02-14T22,1959,02,14,22,1.55,197
