station 401656,,,,,,
Start Date/Time,Year,Month,Day,Hour,6-hr Precip (in),Rank
1949-06-15T22,1949,06,15,22,4.67,1
1949-07-14T10,1949,07,14,10,4.58,2
1979-07-20T17,1979,07,20,17,4.41,3
1977-09-07T13,1977,09,07,13,4.11,4
1957-09-14T23,1957,09,14,23,3.81,5
2004-09-16T23,2004,09,16,23,3.66,6
1994-06-27T01,1994,06,27,01,3.56,7
2012-09-18T04,2012,09,18,04,3.19,8
1976-07-27T19,1976,07,27,19,3.16,9
1973-09-13T12,1973,09,13,12,3.14,10
1969-08-05T00,1969,08,05,00,3.01,11
1994-07-11T18,1994,07,11,18,2.93,12
2009-09-20T21,2009,09,20,21,2.88,13
1974-07-26T18,1974,07,26,18,2.73,14
1954-09-30T19,1954,09,30,19,2.71,15
1999-05-06T05,1999,05,06,05,2.70,16
1992-07-22T02,1992,07,22,02,2.62,17
2007-07-28T08,2007,07,28,08,2.60,18
1950-07-26T20,1950,07,26,20,2.56,19
1986-09-04T12,1986,09,04,12,2.55,20
2009-07-06T00,2009,07,06,00,2.48,21
2001-07-28T23,2001,07,28,23,2.37,22
2003-05-06T10,2003,05,06,10,2.36,23
1975-09-23T17,1975,09,23,17,2.35,24
1979-05-31T08,1979,05,31,08,2.35,25
1979-09-27T13,1979,09,27,13,2.34,26
2004-07-31T13,2004,07,31,13,2.34,27
1954-07-25T23,1954,07,25,23,2.33,28
2012-07-12T12,2012,07,12,12,2.24,29
1954-08-09T02,1954,08,09,02,2.22,30
1989-06-20T15,1989,06,20,15,2.20,31
1973-05-27T21,1973,05,27,21,2.14,32
1975-09-18T04,1975,09,18,04,2.08,33
1977-09-16T00,1977,09,16,00,2.06,34
2005-06-28T04,2005,06,28,04,2.05,35
1972-07-28T05,1972,07,28,05,2.01,36
1965-09-12T05,1965,09,12,05,2.00,37
1973-07-26T17,1973,07,26,17,1.99,38
2008-07-22T19,2008,07,22,19,1.98,39
1958-09-21T08,1958,09,21,08,1.97,40
1997-09-09T20,1997,09,09,20,1.94,41
2003-09-22T13,2003,09,22,13,1.93,42
1950-09-07T18,1950,09,07,18,1.92,43
1964-05-02T17,1964,05,02,17,1.92,44
1950-09-01T10,1950,09,01,10,1.91,45
1972-08-12T22,1972,08,12,22,1.89,46
1960-06-24T22,1960,06,24,22,1.87,47
1957-09-13T23,1957,09,13,23,1.86,48
1988-07-27T20,1988,07,27,20,1.86,49
1983-05-19T07,1983,05,19,07,1.85,50
1966-09-13T10,1966,09,13,10,1.84,51
1962-07-25T11,1962,07,25,11,1.82,52
1964-08-16T11,1964,08,16,11,1.81,53
