station 404950,,,,,,
Start Date/Time,Year,Month,Day,Hour,48-hr Precip (in),Rank
1994-03-28T21,1994,03,28,21,6.72,1
2002-03-18T06,2002,03,18,06,6.41,2
1973-03-17T04,1973,03,17,04,6.23,3
1991-12-02T12,1991,12,02,12,5.80,4
2013-01-15T20,2013,01,15,20,5.54,5
1956-12-14T00,1956,12,14,00,5.26,6
1963-03-12T15,1963,03,12,15,5.17,7
1969-12-31T05,1969,12,31,05,5.14,8
1954-01-16T09,1954,01,16,09,5.05,9
2002-01-25T00,2002,01,25,00,4.91,10
1957-02-01T17,1957,02,01,17,4.82,11
1977-04-04T21,1977,04,04,21,4.81,12
1965-03-26T07,1965,03,26,07,4.80,13
1994-02-11T08,1994,02,11,08,4.76,14
1954-01-22T15,1954,01,22,15,4.67,15
1961-12-18T06,1961,12,18,06,4.53,16
1961-03-08T06,1961,03,08,06,4.44,17
1991-02-19T08,1991,02,19,08,4.20,18
1993-12-05T06,1993,12,05,06,4.18,19
1948-11-29T01,1948,11,29,01,4.14,20
2006-04-22T09,2006,04,22,09,4.14,21
2008-12-11T21,2008,12,11,21,4.08,22
2009-01-07T10,2009,01,07,10,3.98,23
1950-01-31T20,1950,01,31,20,3.82,24
1998-04-19T15,1998,04,19,15,3.82,25
1975-03-14T10,1975,03,14,10,3.78,26
1991-11-22T13,1991,11,22,13,3.72,27
1990-12-23T20,1990,12,23,20,3.70,28
1957-11-18T02,1957,11,18,02,3.68,29
1972-12-10T20,1972,12,10,20,3.66,30
2011-04-28T13,2011,04,28,13,3.59,31
1961-12-11T16,1961,12,11,16,3.58,32
2013-04-28T17,2013,04,28,17,3.51,33
2003-02-16T09,2003,02,16,09,3.49,34
1994-04-11T15,1994,04,11,15,3.46,35
1951-03-30T02,1951,03,30,02,3.39,36
1956-02-04T10,1956,02,04,10,3.27,37
2001-01-19T20,2001,01,19,20,3.26,38
1990-03-17T10,1990,03,17,10,3.25,39
1983-04-06T04,1983,04,06,04,3.19,40
1963-03-06T14,1963,03,06,14,3.15,41
1980-03-21T16,1980,03,21,16,3.15,42
1977-03-30T12,1977,03,30,12,3.14,43
1962-02-23T08,1962,02,23,08,3.13,44
1982-01-04T14,1982,01,04,14,3.12,45
2000-04-04T02,2000,04,04,02,3.10,46
2000-11-09T17,2000,11,09,17,3.07,47
1969-02-02T10,1969,02,02,10,3.05,48
1949-01-05T13,1949,01,05,13,3.04,49
1961-02-23T02,1961,02,23,02,3.03,50
2004-12-11T01,2004,12,11,01,3.01,51
1967-03-06T23,1967,03,06,23,3.00,52
1951-02-01T20,1951,02,01,20,2.96,53
1949-11-01T07,1949,11,01,07,2.95,54
1973-12-27T01,1973,12,27,01,2.95,55
1974-03-21T07,1974,03,21,07,2.95,56
