station 457781,,,,,,
Start Date/Time,Year,Month,Day,Hour,48-hr Precip (in),Rank
1992-11-08T18,1992,11,08,18,6.65,1
1979-03-05T17,1979,03,05,17,6.25,2
1955-12-12T07,1955,12,12,07,5.57,3
1959-11-22T22,1959,11,22,22,4.89,4
1982-02-20T08,1982,02,20,08,4.54,5
1994-12-27T13,1994,12,27,13,4.37,6
2001-10-24T11,2001,10,24,11,4.30,7
1993-01-24T23,1993,01,24,23,4.18,8
1979-12-15T11,1979,12,15,11,4.14,9
2007-10-03T09,2007,10,03,09,4.10,10
1951-11-10T23,1951,11,10,23,3.90,11
1948-11-28T04,1948,11,28,04,3.83,12
1988-02-10T00,1988,02,10,00,3.80,13
1997-12-17T16,1997,12,17,16,3.64,14
1961-11-23T05,1961,11,23,05,3.57,15
1980-01-13T11,1980,01,13,11,3.56,16
1964-11-24T12,1964,11,24,12,3.54,17
1980-11-22T02,1980,11,22,02,3.54,18
1991-11-13T05,1991,11,13,05,3.52,19
1988-10-18T00,1988,10,18,00,3.50,20
1949-11-28T02,1949,11,28,02,3.47,21
1964-12-15T06,1964,12,15,06,3.45,22
1963-02-04T23,1963,02,04,23,3.42,23
1965-02-10T14,1965,02,10,14,3.42,24
2012-03-21T23,2012,03,21,23,3.42,25
2009-10-27T14,2009,10,27,14,3.41,26
1961-12-24T07,1961,12,24,07,3.39,27
1983-11-15T17,1983,11,15,17,3.39,28
1977-11-29T12,1977,11,29,12,3.37,29
1971-01-10T13,1971,01,10,13,3.30,30
1992-12-23T00,1992,12,23,00,3.30,31
2004-12-16T10,2004,12,16,10,3.20,32
1987-12-10T23,1987,12,10,23,3.09,33
1967-10-28T15,1967,10,28,15,3.08,34
1974-11-19T05,1974,11,19,05,3.08,35
2009-04-12T21,2009,04,12,21,3.06,36
2011-04-10T22,2011,04,10,22,3.03,37
1953-11-02T00,1953,11,02,00,2.99,38
1955-03-31T23,1955,03,31,23,2.95,39
1992-01-24T05,1992,01,24,05,2.94,40
1975-03-18T12,1975,03,18,12,2.92,41
1993-03-04T19,1993,03,04,19,2.91,42
1960-11-16T06,1960,11,16,06,2.90,43
1986-11-27T14,1986,11,27,14,2.89,44
1948-11-23T23,1948,11,23,23,2.88,45
1982-01-24T03,1982,01,24,03,2.86,46
1962-11-28T08,1962,11,28,08,2.79,47
1955-01-02T09,1955,01,02,09,2.78,48
1979-12-05T01,1979,12,05,01,2.70,49
1956-03-04T13,1956,03,04,13,2.67,50
1953-12-20T23,1953,12,20,23,2.66,51
1958-11-08T07,1958,11,08,07,2.65,52
1976-11-01T10,1976,11,01,10,2.65,53
1992-11-23T01,1992,11,23,01,2.65,54
2007-10-20T23,2007,10,20,23,2.61,55
1960-04-02T10,1960,04,02,10,2.59,56
2011-04-27T06,2011,04,27,06,2.59,57
2004-10-18T01,2004,10,18,01,2.57,58
1999-12-15T16,1999,12,15,16,2.55,59
1988-03-26T07,1988,03,26,07,2.54,60
1951-11-14T00,1951,11,14,00,2.50,61
1999-01-29T22,1999,01,29,22,2.47,62
1975-12-02T23,1975,12,02,23,2.46,63
1963-04-02T07,1963,04,02,07,2.44,64
1949-02-17T14,1949,02,17,14,2.43,65
1981-02-13T12,1981,02,13,12,2.43,66
1959-01-25T03,1959,01,25,03,2.42,67
1985-10-27T00,1985,10,27,00,2.42,68
1980-02-02T17,1980,02,02,17,2.40,69
1951-01-20T06,1951,01,20,06,2.39,70
1955-10-29T11,1955,10,29,11,2.38,71
1986-01-20T00,1986,01,20,00,2.37,72
